soil_moisture_percent,temp_max,temp_min,temp_avg,humidity,wind_speed,days_since_irrigation,growth_stage,soil_type,soil_type_encoded,day_of_year,need_irrigation,irrigation_amount_mm
56.9,21.5,12.8,17.1,57.9,2.6,3,1,Loam,3,328,False,0.0
71.7,36.1,22.9,29.5,64.2,2.5,0,3,Sandy,1,72,False,0.0
35.3,25.4,16.7,21.0,68.1,0.4,8,0,Clay,2,16,False,0.0
55.3,30.2,17.2,23.7,20.8,0.7,7,1,Sandy Loam,4,102,False,0.0
58.7,11.1,1.1,6.1,64.7,0.7,6,1,Sandy,1,302,False,0.0
75.2,15.6,5.6,10.6,50.6,1.4,1,2,Clay,2,175,False,0.0
37.8,29.6,19.0,24.3,61.7,1.9,9,2,Loam,3,48,True,18.2
51.7,33.6,20.0,26.8,50.5,1.2,6,0,Sandy Loam,4,136,False,0.0
60.8,26.2,14.3,20.3,72.3,0.7,1,1,Loam,3,41,False,0.0
56.4,42.9,30.3,36.6,77.9,0.4,3,0,Loam,3,24,False,0.0
59.9,33.7,23.0,28.3,58.3,1.0,2,2,Sandy Loam,4,52,False,0.0
43.5,27.6,17.1,22.3,51.9,0.9,9,0,Loam,3,190,False,0.0
50.3,10.0,0.8,5.4,64.9,0.2,7,1,Clay,2,326,False,0.0
65.3,25.8,15.9,20.8,73.3,2.6,0,2,Clay,2,195,False,0.0
60.1,32.4,18.7,25.5,65.0,0.8,4,3,Loam,3,118,False,0.0
41.6,29.6,20.2,24.9,53.8,0.8,10,1,Loam,3,34,False,0.0
66.2,22.2,11.5,16.9,58.9,0.3,4,1,Sandy Loam,4,256,False,0.0
35.6,39.3,29.6,34.5,71.9,1.6,9,3,Loam,3,72,True,20.8
70.1,8.1,-2.4,2.9,72.3,0.1,1,3,Clay,2,205,False,0.0
26.3,34.4,20.4,27.4,73.6,0.6,10,1,Clay,2,25,True,23.2
48.5,16.8,4.6,10.7,47.9,5.3,9,3,Sandy Loam,4,217,False,0.0
48.7,19.1,7.4,13.3,77.4,4.1,10,0,Sandy,1,240,False,0.0
67.4,17.6,4.3,10.9,61.5,3.3,4,0,Loam,3,275,False,0.0
53.9,17.0,7.9,12.5,70.1,0.2,8,2,Sandy,1,223,False,0.0
49.6,27.7,16.1,21.9,64.4,0.0,10,2,Sandy,1,92,False,0.0
76.2,2.0,-10.3,-4.1,65.2,0.5,2,2,Clay,2,260,False,0.0
63.0,11.0,-3.7,3.7,57.6,1.5,7,2,Sandy,1,277,False,0.0
52.6,22.0,13.2,17.6,81.1,7.1,3,2,Loam,3,10,False,0.0
65.9,29.8,20.1,25.0,60.9,0.1,7,0,Sandy,1,30,False,0.0
27.1,33.2,18.4,25.8,56.1,0.5,10,1,Clay,2,36,True,17.4
38.2,22.0,7.4,14.7,71.3,0.5,8,2,Clay,2,244,False,0.0
62.4,23.9,12.9,18.4,81.1,1.5,4,1,Clay,2,311,False,0.0
60.1,16.3,1.3,8.8,51.5,0.1,8,3,Loam,3,205,False,0.0
50.4,21.8,13.0,17.4,60.1,0.5,5,0,Clay,2,232,False,0.0
76.0,21.6,9.5,15.5,67.1,2.3,0,1,Clay,2,11,False,0.0
62.2,30.1,17.2,23.7,54.2,0.2,1,1,Sandy,1,37,False,0.0
66.7,32.0,17.9,24.9,41.5,3.4,4,1,Sandy,1,17,False,0.0
51.9,34.0,22.6,28.3,55.1,4.6,3,3,Clay,2,343,False,0.0
78.5,17.7,4.0,10.8,71.7,0.8,1,0,Clay,2,243,False,0.0
62.2,16.2,5.2,10.7,69.3,0.2,7,3,Sandy Loam,4,338,False,0.0
56.6,31.1,18.4,24.7,49.3,0.0,6,0,Sandy,1,28,False,0.0
72.6,20.4,6.8,13.6,75.7,0.5,3,1,Sandy,1,174,False,0.0
63.3,30.1,18.3,24.2,71.8,0.8,2,3,Clay,2,98,False,0.0
53.7,37.6,26.4,32.0,66.4,1.7,8,3,Sandy,1,143,False,0.0
65.5,31.5,23.1,27.3,48.7,0.6,3,0,Sandy,1,51,False,0.0
53.8,33.8,22.9,28.3,78.1,1.4,6,1,Sandy Loam,4,86,False,0.0
55.3,28.8,19.6,24.2,95.0,0.4,4,3,Sandy,1,31,False,0.0
62.8,22.2,12.3,17.2,60.6,0.4,3,1,Sandy Loam,4,233,False,0.0
57.4,28.9,19.4,24.1,70.7,0.0,5,0,Sandy,1,152,False,0.0
69.9,33.6,25.3,29.5,53.2,1.0,0,1,Sandy Loam,4,30,False,0.0
45.8,13.0,4.4,8.7,72.8,0.4,9,0,Clay,2,261,False,0.0
71.8,31.1,18.4,24.8,69.5,0.2,1,3,Clay,2,35,False,0.0
64.9,15.8,6.1,10.9,42.9,4.2,6,0,Sandy,1,292,False,0.0
68.1,25.7,13.6,19.7,45.6,0.7,3,2,Loam,3,337,False,0.0
48.4,23.9,10.9,17.4,67.7,4.0,6,2,Clay,2,343,False,0.0
48.9,38.6,25.9,32.2,81.6,2.1,5,3,Loam,3,68,False,0.0
43.3,35.9,27.8,31.8,69.8,4.4,8,0,Sandy,1,38,True,13.0
71.5,35.3,23.8,29.5,47.2,0.1,1,2,Clay,2,110,False,0.0
31.6,23.9,13.3,18.6,70.3,0.1,8,3,Clay,2,126,True,15.2
50.5,22.6,12.5,17.6,83.4,0.5,10,2,Sandy,1,361,False,0.0
76.7,29.4,14.8,22.1,63.2,0.1,1,2,Clay,2,54,False,0.0
48.3,42.3,29.1,35.7,80.5,7.4,4,2,Clay,2,55,False,0.0
46.8,6.8,-2.7,2.0,62.8,3.2,10,1,Loam,3,310,False,0.0
85.4,10.3,-3.7,3.3,48.4,0.4,0,2,Sandy Loam,4,325,False,0.0
72.8,30.0,17.5,23.8,50.2,1.6,0,0,Loam,3,48,False,0.0
54.0,33.3,19.9,26.6,65.7,1.9,7,1,Loam,3,171,False,0.0
73.3,7.5,-5.4,1.1,52.7,0.9,1,0,Sandy,1,283,False,0.0
44.6,32.5,18.2,25.3,59.7,1.3,9,2,Sandy,1,354,True,14.7
57.4,8.9,-0.1,4.4,84.5,2.0,4,0,Clay,2,283,False,0.0
70.8,23.6,9.3,16.4,53.0,2.0,3,2,Sandy,1,187,False,0.0
56.3,22.5,12.8,17.6,45.3,0.1,8,2,Sandy,1,350,False,0.0
67.9,19.6,4.8,12.2,60.9,1.8,2,1,Clay,2,209,False,0.0
49.4,38.3,24.1,31.2,83.8,1.2,5,1,Sandy,1,91,False,0.0
65.6,23.7,10.1,16.9,61.1,1.0,2,2,Clay,2,211,False,0.0
62.4,21.0,12.3,16.6,56.9,3.7,3,3,Sandy,1,360,False,0.0
62.2,31.7,18.0,24.8,54.7,2.4,4,2,Sandy Loam,4,103,False,0.0
46.6,35.6,26.0,30.8,72.2,0.7,5,3,Clay,2,117,False,0.0
36.4,34.0,20.0,27.0,49.3,3.3,10,2,Loam,3,143,True,17.4
76.6,21.6,10.8,16.2,51.1,0.8,1,0,Loam,3,261,False,0.0
65.5,30.2,21.0,25.6,53.9,4.7,1,0,Loam,3,134,False,0.0
43.0,23.0,12.0,17.5,60.3,0.8,9,3,Loam,3,306,False,0.0
70.1,19.5,10.7,15.1,55.9,6.0,0,2,Clay,2,262,False,0.0
37.9,25.1,14.1,19.6,68.9,2.0,6,2,Clay,2,363,False,0.0
